repo		ablation	contracts/scan/results elapsed time
69/nftx-protocol-v2	sink_none	132c/1/60r (rc=255)	12.898	255
69/nftx-protocol-v2	sink_samevar	132c/1/35r (rc=255)	11.460	255
69/nftx-protocol-v2	budget_0	132c/1/0r	10.835	0
69/nftx-protocol-v2	budget_inf	132c/1/60r (rc=255)	11.880	255
7/code	baseline	52c/1/74r (rc=255)	43.129	255
7/code	no_init_only	52c/1/76r (rc=255)	42.357	255
7/code	no_admin_benign	52c/1/74r (rc=255)	42.445	255
7/code	sink_none	52c/1/88r (rc=255)	42.890	255
7/code	sink_samevar	52c/1/19r (rc=255)	44.331	255
7/code	budget_0	52c/1/0r	40.678	0
7/code	budget_inf	52c/1/74r (rc=255)	43.744	255
70	baseline	110c/1/40r (rc=255)	9.052	255
70	no_init_only	110c/1/42r (rc=255)	7.436	255
70	no_admin_benign	110c/1/40r (rc=255)	8.268	255
70	sink_none	110c/1/47r (rc=255)	8.481	255
70	sink_samevar	110c/1/17r (rc=255)	8.030	255
70	budget_0	110c/1/0r	8.002	0
70	budget_inf	110c/1/40r (rc=255)	8.070	255
71	baseline	40c/1/6r (rc=255)	10.396	255
71	no_init_only	40c/1/6r (rc=255)	10.353	255
71	no_admin_benign	40c/1/6r (rc=255)	10.547	255
71	sink_none	40c/1/6r (rc=255)	10.679	255
71	sink_samevar	40c/1/0r	12.172	0
71	budget_0	40c/1/0r	10.256	0
71	budget_inf	40c/1/6r (rc=255)	11.892	255
72/openleverage-contracts	baseline	74c/1/84r (rc=255)	41.931	255
72/openleverage-contracts	no_init_only	74c/1/90r (rc=255)	22.151	255
72/openleverage-contracts	no_admin_benign	74c/1/84r (rc=255)	38.426	255
72/openleverage-contracts	sink_none	74c/1/88r (rc=255)	44.150	255
72/openleverage-contracts	sink_samevar	74c/1/36r (rc=255)	42.029	255
72/openleverage-contracts	budget_0	74c/1/0r	39.539	0
72/openleverage-contracts	budget_inf	74c/1/84r (rc=255)	40.303	255
73/protocol	baseline	93c/1/144r (rc=255)	28.521	255
73/protocol	no_init_only	93c/1/138r (rc=255)	29.433	255
73/protocol	no_admin_benign	93c/1/139r (rc=255)	27.968	255
73/protocol	sink_none	93c/1/147r (rc=255)	30.589	255
73/protocol	sink_samevar	93c/1/57r (rc=255)	28.351	255
73/protocol	budget_0	93c/1/0r	25.918	0
73/protocol	budget_inf	93c/1/149r (rc=255)	28.819	255
75/xdefi-distribution	baseline	26c/1/1r (rc=255)	7.593	255
75/xdefi-distribution	no_init_only	26c/1/1r (rc=255)	7.854	255
75/xdefi-distribution	no_admin_benign	26c/1/1r (rc=255)	7.066	255
75/xdefi-distribution	sink_none	26c/1/1r (rc=255)	7.254	255
75/xdefi-distribution	sink_samevar	26c/1/0r	7.266	0
75/xdefi-distribution	budget_0	26c/1/0r	8.607	0
75/xdefi-distribution	budget_inf	26c/1/1r (rc=255)	7.198	255
76	baseline	70c/1/2r (rc=255)	11.003	255
76	no_init_only	70c/1/2r (rc=255)	11.056	255
76	no_admin_benign	70c/1/2r (rc=255)	12.672	255
76	sink_none	70c/1/4r (rc=255)	15.221	255
76	sink_samevar	70c/1/2r (rc=255)	13.676	255
76	budget_0	70c/1/0r	11.399	0
76	budget_inf	70c/1/2r (rc=255)	11.324	255
77/elasticswap	baseline	16c/1/1r (rc=255)	7.729	255
77/elasticswap	no_init_only	16c/1/1r (rc=255)	7.838	255
77/elasticswap	no_admin_benign	16c/1/1r (rc=255)	9.280	255
77/elasticswap	sink_none	16c/1/1r (rc=255)	7.480	255
77/elasticswap	sink_samevar	16c/1/0r	9.579	0
77/elasticswap	budget_0	16c/1/0r	9.404	0
77/elasticswap	budget_inf	16c/1/1r (rc=255)	8.242	255
78	baseline	128c/1/104r (rc=255)	26.513	255
78	no_init_only	128c/1/104r (rc=255)	25.263	255
78	no_admin_benign	128c/1/104r (rc=255)	23.808	255
78	sink_none	128c/1/109r (rc=255)	24.523	255
78	sink_samevar	128c/1/16r (rc=255)	20.710	255
78	budget_0	128c/1/0r	18.266	0
78	budget_inf	128c/1/107r (rc=255)	24.178	255
79	baseline	26c/1/39r (rc=255)	9.682	255
79	no_init_only	26c/1/39r (rc=255)	8.008	255
79	no_admin_benign	26c/1/39r (rc=255)	7.915	255
79	sink_none	26c/1/39r (rc=255)	7.956	255
79	sink_samevar	26c/1/8r (rc=255)	8.054	255
79	budget_0	26c/1/0r	7.863	0
79	budget_inf	26c/1/39r (rc=255)	8.563	255
8/nftx-protocol-v2	baseline	76c/1/37r (rc=255)	13.184	255
8/nftx-protocol-v2	no_init_only	76c/1/45r (rc=255)	11.456	255
8/nftx-protocol-v2	no_admin_benign	76c/1/45r (rc=255)	11.334	255
8/nftx-protocol-v2	sink_none	76c/1/37r (rc=255)	12.000	255
8/nftx-protocol-v2	sink_samevar	76c/1/10r (rc=255)	13.000	255
8/nftx-protocol-v2	budget_0	76c/1/0r	12.010	0
8/nftx-protocol-v2	budget_inf	76c/1/37r (rc=255)	11.989	255
83	baseline	27c/1/34r (rc=255)	13.143	255
83	no_init_only	27c/1/34r (rc=255)	13.305	255
83	no_admin_benign	27c/1/34r (rc=255)	17.878	255
83	sink_none	27c/1/38r (rc=255)	13.317	255
83	sink_samevar	27c/1/9r (rc=255)	13.077	255
83	budget_0	27c/1/0r	13.740	0
83	budget_inf	27c/1/33r (rc=255)	12.844	255
89	baseline	84c/1/21r (rc=255)	9.297	255
89	no_init_only	84c/1/23r (rc=255)	9.118	255
89	no_admin_benign	84c/1/23r (rc=255)	9.119	255
89	sink_none	84c/1/23r (rc=255)	9.888	255
89	sink_samevar	84c/1/0r	8.257	0
89	budget_0	84c/1/0r	9.568	0
89	budget_inf	84c/1/21r (rc=255)	9.417	255
94	baseline	54c/1/13r (rc=255)	14.929	255
94	no_init_only	54c/1/13r (rc=255)	16.249	255
94	no_admin_benign	54c/1/13r (rc=255)	15.785	255
94	sink_none	54c/1/13r (rc=255)	17.029	255
94	sink_samevar	54c/1/0r	15.827	0
94	budget_0	54c/1/0r	14.876	0
94	budget_inf	54c/1/13r (rc=255)	17.688	255
97	baseline	101c/1/15r (rc=255)	21.385	255
97	no_init_only	101c/1/15r (rc=255)	22.216	255
97	no_admin_benign	101c/1/15r (rc=255)	27.782	255
97	sink_none	101c/1/15r (rc=255)	26.911	255
97	sink_samevar	101c/1/1r (rc=255)	26.767	255
97	budget_0	101c/1/0r	24.044	0
97	budget_inf	101c/1/17r (rc=255)	25.087	255
98/quant-protocol	baseline	86c/1/10r (rc=255)	13.853	255
98/quant-protocol	no_init_only	86c/1/10r (rc=255)	11.998	255
98/quant-protocol	no_admin_benign	86c/1/10r (rc=255)	11.759	255
98/quant-protocol	sink_none	86c/1/10r (rc=255)	10.224	255
98/quant-protocol	sink_samevar	86c/1/0r	10.172	0
98/quant-protocol	budget_0	86c/1/0r	9.667	0
98/quant-protocol	budget_inf	86c/1/10r (rc=255)	9.931	255
24/swappable-yield-source	baseline	17c/1/0r	6.867	0
24/swappable-yield-source	no_init_only	17c/1/0r	6.856	0
24/swappable-yield-source	no_admin_benign	17c/1/0r	8.726	0
24/swappable-yield-source	sink_none	17c/1/0r	6.928	0
24/swappable-yield-source	sink_samevar	17c/1/0r	7.000	0
24/swappable-yield-source	budget_0	17c/1/0r	6.969	0
24/swappable-yield-source	budget_inf	17c/1/0r	6.922	0
